First Name,Display Name,Last Name,Nickname,Primary Email
Administrator,Administrator,,administrator@pupkin.com
Ivan,Ivan Prohorov,Prohorov,,ivan.prohorov@pupkin.com
Alex,Alex Robertson,Robertson,,alex.robertson@pupkin.com
Alex,Alex Robertson,Robertson,,alex.robertson@pupkin.com
Dmitriy,Dmitriy Dmovskiy,Dmovskiy,,dmitriy.dmovskiy@pupkin.com
Anna,Anna Puhova,Puhova,,anna.puhova@pupkin.com
Administrator,Administrator,,administrator@pupkin.com
Elena,Elena Pashkovec,Pashkovec,,elena.pashkovec@pupkin.com
Sofia,Sofia Petrova,Petrova,,sofia.petrova@pupkin.com
Sofia,Sofia Petrova,Petrova,,sofia.petrova@pupkin.com
Andrei,Andrei Zelenskiy,Zelenskiy,,andrei.zelenskiy@pupkin.com
Andrei,Andrei Zelenskiy,Zelenskiy,,andrei.zelenskiy@pupkin.com
Administrator,Administrator,,administrator@pupkin.com
Andrei,Andrei Zelenskiy,Zelenskiy,,
